11 Com b,12h20m43.03s,+17d47m34.3s,93.37,1.92,326.03,0.32,19.4,1.5,,,0,0
11 UMi b,15h17m05.89s,+71d49m26.0s,125.72,1.97,516.21997,3.2,14.74,2.5,,,1,0
14 And b,23h31m17.42s,+39d14m10.3s,75.59,0.71,185.84,0.23,4.8,,,,2,0
14 Her b,16h10m24.31s,+43d49m03.5s,17.94,0.01,1773.40002,2.5,4.66,0.15,,,3,0
16 Cyg B b,19h41m51.97s,+50d31m03.1s,21.15,0.01,798.5,1,1.78,0.08,,,4,0
18 Del b,20h58m25.94s,+10d50m21.4s,76.38,0.62,993.3,3.2,10.3,,,,2,0
1RXS J160929.1-210524 b,16h09m30.30s,-21d04m58.9s,139.67,1.32,,,8,1,,,5,1
24 Boo b,14h28m37.81s,+49d50m41.5s,96.25,0.64,30.3506,0.0078,0.91,0.13,,,2,0
24 Sex b,10h23m28.37s,-00d54m08.1s,72.21,0.68,452.8,2.1,1.99,0.26,,,6,0
24 Sex c,10h23m28.37s,-00d54m08.1s,72.21,0.68,883,32.4,0.86,0.35,,,6,0
2MASS J01225093-2439505 b,01h22m50.94s,-24d39m50.6s,33.86,0.09,,,24.5,2.5,,,3,1
2MASS J02192210-3925225 b,02h19m22.11s,-39d25m22.5s,40.09,0.19,,,13.9,1.1,1.44,0.03,7,1
2MASS J04414489+2301513 b,04h41m44.90s,+23d01m51.4s,120.42,5.48,,,7.5,2.5,,,8,1
2MASS J12073346-3932539 b,12h07m33.47s,-39d32m54.0s,64.42,0.65,,,4,1,,,9,1
2MASS J19383260+4603591 b,19h38m32.61s,+46d03m59.1s,400.77,6.48,416,2,1.9,0.1,,,10,2
2MASS J21402931+1625183 A b,21h40m29.32s,+16d25m18.3s,33.12,0.48,7336.5,1934.5,20.95,83.79,0.92,0.39,3,1
2MASS J22362452+4751425 b,22h36m24.53s,+47d51m42.6s,69.71,0.16,,,12.5,1.5,,,3,1
30 Ari B b,02h36m57.74s,+24d38m53.0s,44.71,0.1,335.10001,2.5,13.82,1.8,,,1,0
42 Dra b,18h25m59.14s,+65d33m48.5s,90.86,1.32,479.1,6.2,3.88,0.85,,,1,0
47 UMa b,10h59m27.97s,+40d25m48.9s,13.8,0.03,1078,2,2.53,0.07,,,6,0
47 UMa c,10h59m27.97s,+40d25m48.9s,13.8,0.03,2391,100,0.54,0.066,,,6,0
47 UMa d,10h59m27.97s,+40d25m48.9s,13.8,0.03,14002,4018,1.64,0.29,,,6,0
4 UMa b,08h40m12.82s,+64d19m40.6s,73.58,1.18,269.3,1.96,7.1,1.6,,,1,0
51 Eri b,04h37m36.13s,-02d28m24.8s,29.78,0.12,11688,6209.25,,,,,5,1
51 Peg b,22h57m27.98s,+20d46m07.8s,15.47,0.03,4.230785,0.000036,0.472,0.039,,,11,0
55 Cnc b,08h52m35.81s,+28d19m50.9s,12.59,0.01,14.65152,0.00015,0.8306,0.0033,,,6,0
55 Cnc c,08h52m35.81s,+28d19m50.9s,12.59,0.01,44.4175,0.0073,0.1714,0.0055,,,12,0
55 Cnc d,08h52m35.81s,+28d19m50.9s,12.59,0.01,4825,39,3.878,0.068,,,6,0
55 Cnc e,08h52m35.81s,+28d19m50.9s,12.59,0.01,0.736539,0.000007,0.02542,0.00098,0.17,0.007,12,0
55 Cnc f,08h52m35.81s,+28d19m50.9s,12.59,0.01,262,0.51,0.141,0.012,,,4,0
61 Vir b,13h18m24.32s,-18d18m40.3s,8.51,0.02,4.215,0.0006,0.016,0.002,,,4,0
61 Vir c,13h18m24.32s,-18d18m40.3s,8.51,0.02,38.021,0.034,0.057,0.003,,,4,0
61 Vir d,13h18m24.32s,-18d18m40.3s,8.51,0.02,123.01,0.55,0.072,0.008,,,4,0
6 Lyn b,06h30m47.11s,+58d09m45.5s,54.74,0.27,934.3,8.6,2.01,0.077,,,2,0
70 Vir b,13h28m25.81s,+13d46m43.6s,17.91,0.06,116.688,0.0054,7.416,0.057,,,6,0
75 Cet b,02h32m09.42s,-01d02m05.6s,83.15,0.72,691.9,3.6,3,,,,2,0
7 CMa b,06h36m41.04s,-19d15m21.2s,19.82,0.16,735.1,14.8,1.85,0.06,,,13,0
7 CMa c,06h36m41.04s,-19d15m21.2s,19.82,0.16,996,1.5,0.87,0.06,,,4,0
81 Cet b,02h37m41.80s,-03d23m46.2s,101.53,1.22,952.7,8.8,5.3,,,,2,0
8 UMi b,14h56m48.35s,+74d54m03.3s,163.32,0.65,93.4,4.5,1.31,0.16,,,14,0
91 Aqr b,23h15m53.50s,-09d05m15.9s,44.08,0.51,181.4,0.1,3.2,,,,6,0
AB Pic b,06h19m12.91s,-58d03m15.5s,50.12,0.07,,,13.5,0.5,,,9,1
BD+03 2562 b,11h50m15.55s,+02d45m36.5s,1106.93,66.8,481.9,2.7,6.4,1.3,,,4,0
BD+14 4559 b,21h13m35.99s,+14d41m21.8s,49.42,0.08,268.94,0.99,1.04,0.47,,,12,0
BD+15 2375 b,11h45m55.72s,+14d36m59.0s,785.38,45.98,153.22,0.44,1.061,0.27,,,15,0
BD+15 2940 b,16h00m22.94s,+15d32m48.9s,431.61,6.55,137.48,0.34,1.11,,,,12,0
BD+20 2457 b,10h16m44.86s,+19d53m29.1s,1670.85,222.63,379.63,2,55.59,78.55,,,12,0
BD+20 2457 c,10h16m44.86s,+19d53m29.1s,1670.85,222.63,621.99,10.2,12.47,,,,12,0
BD+20 274 b,01h43m40.88s,+21d00m19.1s,1383.85,86.64,578.2,5.4,4.2,,,,12,0
BD+20 594 b,03h34m36.23s,+20d35m57.2s,180.39,1.25,41.6855,0.003,0.07,0.03,0.23,0.01,16,3
BD+48 738 b,02h42m50.45s,+49d35m13.1s,892.17,44.78,392.6,5.5,0.91,,,,12,0
BD+48 740 b,02h42m58.22s,+48d55m48.2s,678.94,22.15,733,5,1.7,0.7,,,4,0
BD+49 828 b,03h02m33.73s,+49d43m48.0s,447.59,7.79,2590,300,1.6,0.4,,,12,0
BD-06 1339 b,05h53m00.28s,-05d59m41.4s,20.28,0.02,3.8728,0.0004,0.027,0.004,,,17,0
BD-06 1339 c,05h53m00.28s,-05d59m41.4s,20.28,0.02,125.94,0.44,0.17,0.03,,,17,0
BD-08 2823 b,10h00m47.72s,-09d31m00.0s,41.38,0.07,5.6,0.02,0.04,0.01,,,17,0
BD-08 2823 c,10h00m47.72s,-09d31m00.0s,41.38,0.07,237.6,1.5,0.33,0.03,,,17,0
BD-10 3166 b,10h58m28.80s,-10d46m13.4s,84.61,0.35,3.48777,0.00011,0.59,0.07,,,3,0
BD-11 4672 b,18h33m28.84s,-11d38m09.7s,27.19,0.03,1667,33,0.53,0.05,,,17,0
BD-13 2130 b,07h37m09.23s,-13d54m23.9s,948.75,42.93,714.29999,5.3,9.78,4.56,,,17,0
BD-17 63 b,00h28m34.31s,-16d13m34.8s,34.49,0.09,655.6,0.6,5.1,0.12,,,17,0
CFBDSIR J145829+101343 b,14h58m29.00s,+10d13m43.0s,,,10037.5,2737.5,10.5,4.5,,,3,1
CHXR 73 b,11h06m28.77s,-77d37m33.2s,191.05,6.42,,,12.569,8.379,,,8,1
CI Tau b,04h33m52.01s,+22d50m30.1s,158.71,1.19,8.9891,0.0202,11.6,2.9,,,4,0
CT Cha b,11h04m09.09s,-76d27m19.4s,191.78,0.78,,,17,6,2.2,0.81,9,1
CoRoT-10 b,19h24m15.29s,+00d44m46.1s,341.65,4.03,13.2406,0.0002,2.75,0.16,0.97,0.07,18,3
CoRoT-11 b,18h42m44.94s,+05d56m15.7s,666.35,24.68,2.99433,0.000011,2.33,0.34,1.43,0.03,18,3
CoRoT-12 b,06h43m03.76s,-01d17m47.2s,1161.12,57.69,2.828042,0.000013,0.917,0.07,1.44,0.13,18,3
CoRoT-13 b,06h50m53.07s,-05d05m11.2s,1184.91,61.25,4.03519,0.00003,1.308,0.066,0.885,0.014,18,3
CoRoT-14 b,06h53m41.81s,-05d32m09.7s,1826.96,166.6,1.51214,0.00013,7.6,0.6,1.09,0.07,18,3
CoRoT-16 b,18h34m05.93s,-06d00m09.3s,745.96,34.71,5.35227,0.0002,0.535,0.085,1.17,0.16,18,3
CoRoT-17 b,18h34m47.82s,-06d36m44.0s,1214.51,57.74,3.7681,0.0003,2.43,0.3,1.02,0.07,18,3
CoRoT-18 b,06h32m41.38s,-00d01m53.7s,780.87,27.57,1.9000693,0.0000028,3.47,0.38,1.31,0.18,18,3
CoRoT-19 b,06h28m08.06s,-00d10m14.5s,807.99,26.81,3.89713,0.00002,1.11,0.06,1.29,0.03,18,3
CoRoT-1 b,06h48m19.17s,-03d06m07.7s,805.31,24.33,1.5089557,0.0000064,1.03,0.12,1.49,0.08,18,3
CoRoT-20 b,06h30m52.90s,+00d13m36.9s,864.31,24.46,9.24285,0.0003,4.3,0.2,,,18,3
CoRoT-20 c,06h30m52.90s,+00d13m36.9s,864.31,24.46,1675,19,17,1,,,4,0
CoRoT-21 b,06h44m12.588s,-00d17m56.868s,1398.83,286.45,2.72474,0.00014,2.26,0.31,1.3,0.14,18,3
CoRoT-22 b,18h42m40.11s,+06d13m08.9s,638.47,11.31,9.75598,0.00011,0.038,0.044,0.435,0.015,18,3
CoRoT-23 b,18h39m07.83s,+04d21m28.1s,1092.4,45.9,3.6313,0.0001,2.8,0.3,1.05,0.13,18,3
CoRoT-24 b,06h47m41.41s,-03d43m09.5s,601.22,16.02,5.1134,0.0006,0.018,,0.33,0.04,18,3
CoRoT-24 c,06h47m41.41s,-03d43m09.5s,601.22,16.02,11.759,0.0063,0.088,0.035,0.44,0.04,18,3
CoRoT-25 b,18h42m31.12s,+06d30m49.8s,1137.85,44.95,4.86069,0.00006,0.27,0.04,1.08,0.3,18,3
CoRoT-26 b,18h39m00.12s,+06d58m11.2s,,,4.20474,0.00005,0.52,0.05,1.26,0.13,18,3
CoRoT-27 b,18h33m59.00s,+05d32m18.5s,1035.15,66.44,3.57532,0.00006,10.39,0.55,1.007,0.044,18,3
CoRoT-28 b,18h34m45.20s,+05d34m25.4s,783.18,14.95,5.20851,0.00038,0.484,0.087,0.955,0.066,18,3
CoRoT-29 b,18h35m36.50s,+06d28m46.7s,822.62,42.4,2.85057,0.000006,0.85,0.2,0.9,0.16,18,3
CoRoT-2 b,19h27m06.49s,+01d23m01.4s,214.56,2.47,1.7429935,0.000001,3.47,0.22,1.466,0.042,18,3
CoRoT-3 b,19h28m13.26s,+00d07m18.6s,784.49,30.6,4.2568,0.000005,21.66,1,1.01,0.07,18,3
CoRoT-4 b,06h48m46.72s,-00d40m22.0s,741.6,15.39,9.20205,0.00037,0.72,0.08,1.19,0.06,18,3
CoRoT-5 b,06h45m06.54s,+00d48m54.9s,904.65,26.7,4.0378962,0.0000019,0.467,0.047,1.388,0.046,18,3
CoRoT-6 b,18h44m17.41s,+06d39m47.5s,657.24,12.58,8.886593,0.000004,2.96,0.34,1.166,0.035,18,3
CoRoT-7 b,06h43m49.47s,-01d03m46.9s,160.64,0.91,0.85359163,0.00000001,0.01,0,0.15,0.01,18,3
CoRoT-7 c,06h43m49.47s,-01d03m46.9s,160.64,0.91,3.698,0.003,0.02643,0.00283,,,18,0
CoRoT-8 b,19h26m21.24s,+01d25m35.2s,325.03,2.74,6.21229,0.00003,0.22,0.03,0.57,0.02,18,3
CoRoT-9 b,18h43m08.81s,+06d12m15.0s,417.89,4.75,95.272656,0.000068,0.84,0.05,1.066,0.075,18,3
CoRoTID 223977153 b,06h40m46.84s,+09d15m26.8s,586.2,10.7,6.71837,0.00001,0.15,0.1,0.57,0.06,18,3
DE CVn b,13h26m53.27s,+45d32m46.69s,30.55,0.03,4098.1,131.5,12.0293,3.00733,,,19,2
DENIS-P J082303.1-491201 b,08h23m03.13s,-49d12m01.3s,20.67,0.2,246.36,1.38,28.5,1.9,,,9,4
DH Tau b,04h29m41.56s,+26d32m58.3s,135.35,1.27,,,11,10,,,20,1
DMPP-1 b,05h47m06.27s,-10d37m48.8s,62.65,0.18,18.57,0.01,0.07636,0.00365,,,17,0
DMPP-1 c,05h47m06.27s,-10d37m48.8s,62.65,0.18,6.584,0.003,0.0302,0.00167,,,17,0
DMPP-1 d,05h47m06.27s,-10d37m48.8s,62.65,0.18,2.882,0.001,0.01054,0.0012,,,17,0
DMPP-1 e,05h47m06.27s,-10d37m48.8s,62.65,0.18,5.516,0.002,0.01299,0.00208,,,17,0
DMPP-2 b,01h49m37.89s,-34d27m32.9s,138.49,0.68,5.2072,0.0002,0.437,0.03,,,19,0
DMPP-3 A b,06h06m29.85s,-72d30m45.6s,46.95,0.23,6.6732,0.0011,0.00812,0.0011,,,17,0
DP Leo b,11h17m16.00s,+17d57m41.1s,305.06,28.94,10220,730,6.05,0.47,,,21,2
DS Tuc A b,23h39m39.48s,-69d11m44.7s,44.12,0.07,8.138268,0.000011,,,0.509,0.015,22,3
EPIC 201238110 b,11h58m49.42s,-03d23m21.8s,159.98,1.4,28.1656,0.0027,,,0.167,0.018,16,3
EPIC 201497682 b,11h15m44.79s,+00d29m17.2s,254.88,1.68,2.13174,0.00022,,,0.062,0.005,16,3
EPIC 201615463 c,12h20m45.19s,+02d16m56.8s,483.38,9.69,3.80464,0.00091,,,0.109,0.019,16,3
EPIC 201754305 d,11h40m23.34s,+04d33m26.4s,338.19,4.23,2.71578,0.00031,,,0.092,0.008,16,3
EPIC 201833600 c,11h17m56.07s,+05d59m18.2s,259.33,3.26,3.96151,0.00046,,,0.089,0.011,16,3
EPIC 201841433 b,11h40m49.63s,+06d08m05.5s,441.94,8.17,4.16959,0.00051,,,0.098,0.012,16,3
EPIC 205950854 c,22h12m26.37s,-16d20m30.3s,245.56,4.19,8.050722,0.000075,,,0.117,0.013,16,3
EPIC 206024342 b,22h05m06.53s,-14d07m18.0s,373.81,4.99,4.50756,0.00062,,,0.152,0.053,16,3
EPIC 206032309 b,22h44m57.77s,-13d54m03.3s,162.09,1.8,2.87814,0.00023,,,0.09,0.021,16,3
